bar_id,guest_count_count,guest_count_mean,guest_count_std,guest_count_min,guest_count_25%,guest_count_50%,guest_count_75%,guest_count_max
7165,1752.0,1.5593607305936072,1.3790109939884398,0.0,1.0,1.0,2.0,30.0
3210,1243.0,1.7884151246983104,1.102388410481959,1.0,1.0,1.0,2.0,8.0
26484,960.0,1.6645833333333333,1.165186632592834,0.0,1.0,2.0,2.0,10.0
2853,1574.0,1.4980940279542567,0.9004817111944678,1.0,1.0,1.0,2.0,9.0
9436,1090.0,1.4403669724770642,0.7314424992235193,0.0,1.0,1.0,2.0,6.0
5556,802.0,1.4463840399002494,1.026608851985954,1.0,1.0,1.0,2.0,13.0
1990,3259.0,1.4679349493709728,1.123087584286959,1.0,1.0,1.0,2.0,21.0
11290,1516.0,1.3364116094986807,1.0122777893814678,-1.0,1.0,1.0,2.0,16.0
9438,443.0,2.379232505643341,1.3589729778093844,1.0,1.0,2.0,4.0,8.0
1968,1639.0,1.724222086638194,1.2861021895550544,0.0,1.0,2.0,2.0,22.0
1163,1412.0,1.63314447592068,1.4405214128367496,0.0,1.0,1.0,2.0,11.0
11329,1062.0,1.9369114877589453,1.3718501131569567,0.0,1.0,2.0,2.0,20.0
1155,1746.0,1.5080183276059564,1.4640658039083951,0.0,1.0,1.0,2.0,12.0
7445,1754.0,1.718358038768529,1.1250578665859567,0.0,1.0,1.0,2.0,8.0
11021,868.0,1.9055299539170507,1.3509164116816639,0.0,1.0,2.0,2.0,18.0
18102,1106.0,1.8092224231464737,1.2850501095160982,0.0,1.0,2.0,2.0,22.0
28543,2072.0,1.6042471042471043,0.9607162308585044,0.0,1.0,1.0,2.0,10.0
1317,815.0,1.687116564417178,1.1374865195768873,1.0,1.0,1.0,2.0,10.0
3290,594.0,1.6111111111111112,1.102784049030941,0.0,1.0,1.0,2.0,12.0
26487,1733.0,1.5701096364685516,1.2087851246521424,0.0,1.0,1.0,2.0,10.0
16484,616.0,1.75487012987013,0.9422213759609291,1.0,1.0,2.0,2.0,6.0
7363,771.0,1.5084306095979247,0.9873848451927856,0.0,1.0,1.0,2.0,17.0
3912,283.0,1.568904593639576,1.1660175911109754,0.0,1.0,1.0,2.0,11.0
1042,1544.0,1.51360103626943,0.8758717084530134,1.0,1.0,1.0,2.0,12.0
12764,290.0,1.5034482758620689,0.785897656869609,1.0,1.0,1.0,2.0,6.0
2302,768.0,1.5182291666666667,1.1382554824124804,0.0,1.0,1.0,2.0,10.0
2185,2505.0,1.7373253493013971,1.277283721812236,0.0,1.0,1.0,2.0,19.0
12277,1719.0,1.370564281559046,1.1199717672328413,0.0,1.0,1.0,2.0,11.0
9446,636.0,1.4654088050314464,0.8476358913288218,1.0,1.0,1.0,2.0,9.0
10799,555.0,1.5315315315315314,1.0766626787548004,1.0,1.0,1.0,2.0,12.0
4689,1596.0,1.681704260651629,1.4860491822428123,0.0,1.0,2.0,2.0,16.0
3211,877.0,1.5302166476624857,1.2004799548347242,1.0,1.0,1.0,2.0,14.0
19199,623.0,1.9967897271268058,1.2095504063980844,1.0,1.0,2.0,2.0,10.0
19207,519.0,1.4547206165703275,0.9348321081578564,1.0,1.0,1.0,2.0,13.0
10532,712.0,1.7485955056179776,1.0765356973193403,0.0,1.0,1.0,2.0,10.0
11023,647.0,1.760432766615147,1.0467900801334828,0.0,1.0,2.0,2.0,9.0
9431,1421.0,1.6171710063335678,1.2525301231781352,0.0,1.0,1.0,2.0,22.0
17624,1344.0,1.7827380952380953,1.096450485100279,1.0,1.0,2.0,2.0,10.0
